!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 56921.5517961   -10.703         -0.5          
 56923.4452306   -8.12           -2.567        
 56924.4623271   -7.425          -2.648        
 56924.4807113   -10.773         -0.332        
 56925.4069998   -11.298         -0.34         
 56925.4708792   -5.877          -0.052        
 56926.4353937   -7.524          -2.645        
 56927.407384    -10.917         -0.622        
 56927.4740494   -7.109          -2.786        
 56927.4820977   -5.618          -0.106        
 56929.4513172   -7.537          -2.761        
 56929.460234    -5.828          -0.12         
 56931.448668    -7.102          -2.801        
 56931.4602452   -10.788         -0.613        
 56932.4326144   -7.305          -2.882        
 56932.4411029   -10.804         -0.578        
 56936.4560805   -7.113          -2.906        
 56936.4650394   -10.871         -0.599        
 56936.4662104   -5.704          -0.227        
 56938.4572975   -7.754          -2.976        
 56938.468907    -11.136         -0.808        
 56939.4302623   -11.231         -0.77         
 56939.4314306   -5.93           -0.255        
 56940.4513253   -7.538          -2.839        
 56942.4340703   -10.936         -0.853        
 56943.4350073   -7.75           -2.922        
 56945.4678761   -7.661          -2.987        
 56945.4794635   -11.158         -0.84         
 56949.4414478   -11.18          -0.626        
 56949.4426216   -5.901          -0.259        
 56952.3878264   -7.335          -2.86         
 56952.3995774   -10.932         -0.691        
 56954.4277132   -7.414          -2.923        
 56954.4366394   -10.875         -0.653        
 56954.4375967   -5.694          -0.306        
 56956.4105481   -4.015          -1.463        
 56958.4089032   -11.016         -0.606        
 56959.4566433   -7.459          -2.835        
 56959.4682566   -10.972         -0.604        
 56959.5230988   -7.574          -2.868        
 56965.4235014   -7.439          -2.774        
 56965.4324099   -10.882         -0.532        
 56966.4451536   -7.45           -2.855        
 56966.4570486   -10.746         -0.542        
 56973.4460145   -7.674          -2.738        
 56973.4575998   -11.007         -0.543        
 56977.4011629   -7.068          -2.706        
 56977.4100594   -10.758         -0.442        
 56978.3922556   -10.887         -0.583        
 56978.4460662   -5.753          -0.195        
 56980.4143524   -7.378          -2.862        
 56980.4259398   -10.915         -0.511        
 56981.3957235   -5.736          -0.146        
 56982.3006321   -10.855         -0.602        
 56983.3982751   -6.99           -2.875        
 56983.407211    -10.491         -0.572        
 56984.3977758   -5.867          -0.219        
 56987.3746169   -11.112         -0.614        
 56987.4352026   -7.618          -2.846        
 56987.4468027   -10.87          -0.473        
 56987.5018339   -5.831          -0.144        
 56989.409199    -5.693          -0.176        
 56994.4264531   -7.356          -2.803        
