!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57099.521467    3.72            -2.603        
 57110.391951    3.881           -3.054        
 57111.5134363   4.773           -3.242        
 57111.5219521   4.009           -2.868        
 57118.506685    -1.24           -3.784        
 57118.5152269   -1.474          -3.754        
 57118.5924215   -0.825          -3.689        
 57118.6017679   -1.224          -3.492        
 57118.6031357   -0.905          -1.666        
 57119.4991687   -0.402          -3.618        
 57120.1704256   -0.604          -3.378        
 57124.4870086   0.901           0.725         
 57125.5218873   2.913           0.257         
 57125.5304023   2.686           0.706         
 57125.5888814   2.676           0.834         
 57126.488314    4.001           0.384         
 57127.5073785   1.442           0.748         
 57128.4993964   3.834           0.89          
 57130.4730856   1.303           0.705         
 57132.5151801   3.883           0.275         
 57132.5237015   3.591           0.779         
 57133.486903    1.484           0.714         
 57136.4671317   3.686           0.517         
 57139.4394817   3.607           0.454         
 57139.4480023   3.204           0.917         
 57140.3389841   3.015           0.781         
 57142.5006129   3.638           0.317         
 57146.5021369   4.038           0.529         
 57146.5106541   3.754           1.134         
 57146.5711558   1.523           0.897         
 57146.5721419   4.073           0.569         
 57146.588078    1.422           0.822         
 57157.5598637   4.432           -0.172        
 57157.5701724   4.242           0.391         
 57157.5715412   1.684           0.429         
 57160.5324333   3.571           0.506         
 57161.5066325   4.37            0.021         
 57161.5169731   1.472           0.502         
 57163.5205733   3.695           0.122         
 57163.529081    3.304           0.529         
 57164.499567    3.549           0.405         
 57164.5009398   1.368           0.443         
 57166.5349407   4.542           0.077         
 57167.4363515   3.709           0.521         
 57169.4976348   3.95            0.331         
 57170.5145471   4.178           0.057         
 57170.5230564   3.72            0.446         
 57172.5078771   4.435           0.012         
 57173.4959097   1.459           0.498         
 57175.6376998   3.351           0.459         
 57176.495048    1.391           0.566         
 57176.4960283   3.879           0.132         
 57177.554071    3.653           0.123         
 57177.5625775   3.104           0.356         
 57184.5523594   4.325           0.113         
 57184.5608785   3.828           0.597         
 57185.5390646   4.256           0.082         
 57185.5404468   1.615           0.547         
 57191.5125436   4.456           0.337         
 57191.5210745   3.987           0.739         
 57191.5726875   4.639           0.393         
 57191.5830023   1.623           0.637         
 57192.5273739   3.81            0.584         
 57192.5863272   3.851           0.683         
 57195.5106963   1.821           0.588         
 57195.518708    4.146           0.508         
 57197.6448858   1.658           0.502         
 57198.546335    4.728           0.066         
 57198.5548942   4.239           0.531         
 57199.5679029   4.548           0.064         
 57199.5770666   4.15            0.401         
 57202.4530898   7.386           0.5           
 57203.5356827   1.969           0.486         
 57203.5366563   5.009           -0.105        
 57203.5593893   1.843           0.448         
 57203.5603714   4.527           0.366         
 57205.7845284   5.009           0.038         
 57205.7930293   4.342           0.484         
 57206.4989613   5.284           0.049         
 57206.5092554   4.604           0.327         
 57212.5562838   4.517           0.146         
 57212.5650623   3.792           0.395         
 57213.4796042   1.706           0.468         
 57213.4876143   1.506           0.248         
 57216.5418873   4.424           0.594         
 57216.5435408   1.844           0.58          
 57219.5288853   4.669           0.433         
 57219.5374784   3.968           0.744         
 57220.5371555   1.709           0.687         
 57220.5452525   3.913           0.739         
 57220.5466297   1.58            0.658         
 57223.5516439   4.71            0.374         
 57223.5530215   1.765           0.705         
 57223.5762416   4.089           0.665         
 57223.577616    1.606           0.679         
 57226.545904    4.623           0.515         
 57226.5543933   4.144           0.904         
 57229.5272857   4.072           0.292         
 57229.5357658   3.57            0.441         
 57229.5819415   3.687           0.543         
 57229.5833155   1.419           0.584         
 57230.5177406   1.74            0.579         
 57232.5055481   1.697           0.539         
 57234.5173542   4.838           0.221         
 57234.5187358   1.901           0.544         
 57236.6006621   4.633           0.161         
 57236.6091564   3.947           0.522         
 57244.7521923   4.204           0.169         
 57244.7607829   3.715           0.709         
 57246.6110392   3.598           0.614         
 57248.4901654   1.496           0.533         
 57250.4001313   3.922           -0.005        
 57250.4086287   3.387           0.491         
 57250.4429716   4.161           -0.038        
 57251.3135455   4.756           0.077         
 57251.3240562   4.096           0.384         
 57254.5085271   1.581           0.503         
 57255.588993    4.659           0.139         
 57255.5981337   3.879           0.581         
 57257.5313131   4.249           0.135         
 57257.539832    3.605           0.429         
 57258.5135124   3.983           0.391         
 57258.5148935   6.987           0.301         
 57259.5009754   7.005           0.439         
 57260.5740665   7.141           0.522         
 57261.5212309   6.655           0.523         
 57264.5501762   4.021           0.451         
 57264.5589664   3.688           0.91          
 57268.4926852   1.969           0.585         
 57268.5008803   1.839           0.488         
 57269.5053099   1.965           0.657         
