,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
30,HD37022,05:35:16.48,-05:23:23.1,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-26T07:34:21.503,Sep 26 2015,UVES_dic2_obs_exp,2014-09-26T07:33:05,14.001,,,"FREE,HER_5",56926.315527,1.293,0.65
31,HD40111,05:57:59.68,+25:57:08.1,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-04T08:04:26.947,Nov  4 2015,UVES_dic1_obs_exp,,13.001,,,"FREE,HER_5",56965.336423,1.578,0.59
32,HD184915,19:36:53.36,-07:01:38.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T04:15:39.428,Sep 16 2015,UVES_dic1_obs_exp,2014-09-16T04:15:14,17.999,,,"FREE,SHP700",56916.17754,1.721,-1.0
33,HD24398,03:54:07.89,+31:53:00.3,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-23T08:25:11.607,Sep 23 2015,UVES_dic1_obs_exp,2014-09-23T08:18:34,3.001,,,"FREE,HER_5",56923.350829,1.81,0.91
34,HD37367,05:39:18.24,+29:12:54.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-11T08:06:42.838,Oct 11 2015,UVES_dic1_obs_exp,2014-10-11T08:00:10,70.001,,,"FREE,HER_5",56941.337996,1.762,1.51
35,HD66194,07:58:50.60,-60:49:27.2,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T08:44:31.986,Sep 16 2015,UVES_dic2_obs_exp,2014-09-16T08:43:20,19.999,,,"FREE,OG590",56916.364259,1.784,-1.0
36,HD36861,05:35:08.30,+09:56:02.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-29T06:01:14.954,Oct 29 2015,UVES_dic2_obs_exp,2014-10-29T05:59:09,2.499,,,"FREE,OG590",56959.250868,1.371,1.39
37,HD36822,05:34:49.21,+09:29:22.2,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-26T08:04:39.310,Sep 26 2015,UVES_dic1_obs_exp,2014-09-26T08:00:13,10.999,,,"FREE,SHP700",56926.336566,1.384,0.7
38,HD36486,05:32:00.41,-00:17:56.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-24T08:31:38.992,Sep 24 2015,UVES_dic2_obs_exp,2014-09-24T08:30:12,0.799,,,"FREE,OG590",56924.355312,1.188,1.63
39,HD66811,08:03:35.04,-40:00:11.5,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T09:14:14.984,Sep 16 2015,UVES_dic2_obs_exp,2014-09-16T09:13:54,0.799,,,"FREE,OG590",56916.384896,1.559,-1.0
40,HD37367,05:39:18.25,+29:12:55.0,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-11T08:50:06.828,Oct 11 2015,UVES_dic2_obs_exp,2014-10-11T08:42:09,30.001,,,"FREE,HER_5",56941.368135,1.695,1.69
41,HD167264,18:15:12.92,-20:43:42.9,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-15T01:44:21.730,Sep 15 2015,UVES_dic1_obs_exp,2014-09-15T01:44:02,24.999,,,"FREE,SHP700",56915.072474,1.192,-1.0
42,HD145502,16:11:59.78,-19:27:38.3,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T00:46:03.450,Sep 16 2015,UVES_dic1_obs_exp,2014-09-16T00:45:28,7.499,,,"FREE,SHP700",56916.031984,1.519,-1.0
43,HD23180,03:44:19.19,+32:17:17.7,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-29T06:31:14.105,Oct 29 2015,UVES_dic1_obs_exp,2014-10-29T06:29:49,6.499,,,"FREE,SHP700",56959.271691,1.858,1.18
44,HD23180,03:44:19.25,+32:17:17.9,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-23T08:52:02.053,Sep 23 2015,UVES_dic1_obs_exp,2014-09-23T08:51:29,6.499,,,"FREE,SHP700",56923.369468,1.857,0.92
45,HD184915,19:36:53.44,-07:01:40.7,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-20T02:12:59.293,Sep 20 2015,UVES_dic2_obs_exp,2014-09-20T02:11:16,11.001,,,"FREE,HER_5",56920.092353,1.172,1.75
46,HD37022,05:35:16.47,-05:23:23.1,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-24T09:00:58.333,Sep 24 2015,UVES_dic1_obs_exp,2014-09-24T08:59:32,21.999,,,"FREE,SHP700",56924.375675,1.1,1.9
47,HD36861,05:35:08.28,+09:56:03.0,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-26T08:35:15.629,Sep 26 2015,UVES_dic1_obs_exp,2014-09-26T08:34:52,4.999,,,"FREE,SHP700",56926.35782,1.303,0.93
48,HD36486,05:32:00.39,-00:17:57.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-10T05:27:37.544,Oct 10 2015,UVES_dic1_obs_exp,2014-10-10T05:27:04,1.999,,,"FREE,SHP700",56940.227518,1.815,1.03
49,HD23180,03:44:19.12,+32:17:18.3,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-29T06:59:44.958,Oct 29 2015,UVES_dic2_obs_exp,2014-10-29T06:58:20,2.999,,,"FREE,OG590",56959.291493,1.93,1.17
50,HD148605,16:30:12.52,-25:06:55.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T01:19:44.489,Sep 16 2015,UVES_dic1_obs_exp,2014-09-16T01:19:19,14.999,,,"FREE,SHP700",56916.055376,1.586,-1.0
51,HD23016,03:42:18.94,+19:42:00.3,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-20T06:14:11.365,Sep 20 2015,UVES_dic1_obs_exp,2014-09-20T06:12:45,35.999,,,"FREE,SHP700",56920.259854,1.745,2.18
52,HD36822,05:34:49.24,+09:29:21.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-10T05:52:44.820,Oct 10 2015,UVES_dic2_obs_exp,2014-10-10T05:47:41,6.001,,,"FREE,HER_5",56940.244963,1.854,1.15
53,HD167264,18:15:12.92,-20:43:42.9,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-15T02:21:03.374,Sep 15 2015,UVES_dic2_obs_exp,2014-09-15T02:19:37,12.999,,,"FREE,OG590",56915.097956,1.331,-1.0
54,HD79186,09:11:04.40,-44:52:04.1,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-13T08:44:51.024,Oct 13 2015,UVES_dic1_obs_exp,2014-10-13T08:43:25,19.999,,,"FREE,SHP700",56943.364479,1.511,0.75
55,HD170740,18:31:25.71,-10:47:46.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T02:04:38.152,Sep 16 2015,UVES_dic1_obs_exp,2014-09-16T01:56:59,60.0,,,"FREE,HER_5",56916.086553,1.272,-1.0
56,HD57061,07:18:42.48,-24:57:15.0,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-10T07:47:54.509,Oct 10 2015,UVES_dic1_obs_exp,2014-10-10T07:43:37,8.0,,,"FREE,HER_5",56940.324936,1.308,0.84
57,HD24398,03:54:07.88,+31:53:01.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-25T08:11:29.726,Sep 25 2015,UVES_dic2_obs_exp,2014-09-25T08:09:19,1.801,,,"FREE,HER_5",56925.341316,1.812,0.69
58,HD36486,05:32:00.41,-00:17:56.9,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-06T05:35:05.705,Oct  6 2015,UVES_dic2_obs_exp,2014-10-06T05:31:06,1.0,,,"FREE,HER_5",56936.232705,1.908,0.87
59,HD40111,05:57:59.66,+25:57:14.1,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-10-29T08:34:13.345,Oct 29 2015,UVES_dic1_obs_exp,2014-10-29T08:28:28,15.999,,,"FREE,SHP700",56959.357099,1.583,2.03
60,HD36486,05:32:00.34,-00:17:56.1,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-30T05:57:12.549,Sep 30 2015,UVES_dic1_obs_exp,2014-09-30T05:55:44,1.599,,,"FREE,SHP700",56930.248062,1.924,0.71
61,HD94493,10:53:15.12,-60:48:52.7,194.C-0833(B),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2015-01-14T06:19:55.722,Jan 14 2016,UVES_dic1_obs_exp,2015-01-14T05:41:58,149.999,,,"FREE,SHP700",57036.263839,1.309,1.21
62,HD27778,04:23:59.73,+24:18:03.8,194.C-0833(B),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-16T05:13:55.914,Nov 16 2015,UVES_dic2_obs_exp,2014-11-16T05:05:27,29.999,,,"FREE,OG590",56977.218008,1.523,0.88
