,file_name,wave_setting,MJD-OBS,path
826,UVES.2019-01-03T11_23_57.995.fits,860,58486.474976785,calib_raw/UVES.2019-01-03T11_23_57.995.fits
827,UVES.2019-01-03T11_23_57.995.fits,860,58486.474976785,EDIBLES_raw_all/UVES.2019-01-03T11_23_57.995.fits
828,UVES.2019-01-15T14_48_49.943.fits,860,58498.617244712,calib_raw/UVES.2019-01-15T14_48_49.943.fits
829,UVES.2019-01-30T10_35_32.194.fits,860,58513.441344845,EDIBLES_raw_all/UVES.2019-01-30T10_35_32.194.fits
830,UVES.2019-02-03T15_47_11.782.fits,860,58517.657775249,calib_raw/UVES.2019-02-03T15_47_11.782.fits
831,UVES.2019-02-03T15_47_11.782.fits,860,58517.657775249,EDIBLES_raw_all/UVES.2019-02-03T15_47_11.782.fits
832,UVES.2019-02-13T12_44_15.095.fits,860,58527.530730271,EDIBLES_raw_all/UVES.2019-02-13T12_44_15.095.fits
833,UVES.2019-02-18T14_05_07.079.fits,860,58532.586887488,calib_raw/UVES.2019-02-18T14_05_07.079.fits
834,UVES.2019-03-09T12_50_13.838.fits,860,58551.534882384,calib_raw/UVES.2019-03-09T12_50_13.838.fits
835,UVES.2019-03-25T12_45_24.892.fits,860,58567.531538097,calib_raw/UVES.2019-03-25T12_45_24.892.fits
836,UVES.2019-03-25T12_45_24.892.fits,860,58567.531538097,EDIBLES_raw_all/UVES.2019-03-25T12_45_24.892.fits
837,UVES.2019-03-27T12_16_02.874.fits,860,58569.511144367,EDIBLES_raw_all/UVES.2019-03-27T12_16_02.874.fits
838,UVES.2019-04-02T15_21_44.127.fits,860,58575.640094057,calib_raw/UVES.2019-04-02T15_21_44.127.fits
839,UVES.2019-05-04T12_30_01.658.fits,860,58607.520852523,calib_raw/UVES.2019-05-04T12_30_01.658.fits
840,UVES.2019-05-21T13_50_50.611.fits,860,58624.576974673,calib_raw/UVES.2019-05-21T13_50_50.611.fits
841,UVES.2019-06-08T13_47_26.912.fits,860,58642.574617036,calib_raw/UVES.2019-06-08T13_47_26.912.fits
842,UVES.2019-07-03T13_02_42.729.fits,860,58667.543550099,calib_raw/UVES.2019-07-03T13_02_42.729.fits
843,UVES.2019-10-02T10_45_57.896.fits,860,58758.448586757,calib_raw/UVES.2019-10-02T10_45_57.896.fits
