!mjd_obs        !mean_dy        
!---------------!---------------
 57616.4820735   -1.563
 57619.5338311   -0.252
 57619.5438466   -1.66
 57622.5419498   -0.74
 57622.5507472   -2.341
 57623.4760753   -1.622
 57629.503101    0.204
 57629.5119047   -1.556
 57629.5949701   0.028
 57629.6050134   -1.811
 57634.4711814   -1.815
 57635.5588381   -0.087
 57636.5128122   0.053
 57636.5213377   -1.847
 57639.494468    -1.524
 57640.5257796   -0.385
 57643.5209049   -0.712
 57643.5294193   -2.08
 57643.6108484   -0.491
 57643.6273234   -1.977
 57650.5063462   -0.579
 57650.5148805   -2.273
 57651.5016117   -2.003
 57654.4781042   -0.893
 57655.4988642   0.324
 57657.5143719   0.369
 57657.5228953   -1.113
 57662.3722407   -0.725
 57663.5299183   -1.353
 57664.4901219   0.419
 57664.4986152   -1.093
 57665.4684954   0.567
 57671.4724242   0.928
 57671.4808983   -0.58
 57674.5520935   0.847
 57674.5610499   -0.714
 57678.4915875   0.779
 57678.5000951   -0.781
 57680.5261871   0.659
 57684.5233255   0.741
 57685.4794909   0.56
 57685.4880036   -0.985
 57686.4373375   -0.911
 57687.5097458   0.255
 57690.5103136   -0.728
 57692.4743732   1.108
 57692.4828781   -0.44
 57699.4471216   0.693
 57699.4556511   -0.728
 57706.580833    1.042
 57706.5893588   -0.547
 57711.4490292   1.153
 57713.3913343   1.016
 57713.3998576   -0.275
 57723.4600487   1.068
 57723.468551    -0.712
 57723.6585936   0.874
 57726.4839293   1.173
 57728.4657037   -0.689
 57729.3846393   -0.641
 57742.434085    -0.25
 57744.481526    1.467
 57745.4536458   0.01
 57747.4657521   1.738
 57747.474273    0.094
 57748.5028823   0.017
 57753.4965393   1.301
 57754.4688166   1.077
 57754.4776114   -0.529
 57756.4932779   1.139
 57760.5297205   1.384
 57761.4526989   1.18
 57761.4612298   -0.519
 57764.4598173   1.589
 57769.6049021   1.666
 57785.9942538   1.048
 57786.0027467   -0.126
 57786.2340071   1.443
 57786.2425036   -0.057
 57786.4962548   1.599
 57786.504762    0.402
 57786.539231    0.086
 57787.515334    1.663
 57793.4893741   1.253
 57793.497878    -0.128
 57793.5414788   -0.154
 57797.5578443   1.85
 57797.5667773   0.287
 57800.5265968   1.434
 57800.5351366   -0.03
 57800.6251748   1.434
 57802.1615093   1.414
 57802.1783614   -0.018
 57805.472915    1.374
 57806.5262739   -0.002
 57807.505145    1.553
 57807.5139722   -0.007
 57808.458739    1.918
 57815.4983017   1.575
 57815.5067988   0.13
 57815.580603    0.014
 57821.5067663   0.224
 57822.5023758   1.569
 57822.5108869   0.093
 57829.4496914   1.499
 57829.4582069   -0.032
 57831.5456171   0.22
 57836.5097278   1.73
 57836.5184805   0.342
 57837.5044279   0.301
 57843.5567687   1.625
 57843.5654718   0.156
 57844.5303796   0.232
 57845.6253638   1.664
 57848.6116626   0.979
 57848.6204451   3.032
 57848.6213434   -0.044
 57850.5222555   1.854
 57850.5307888   0.313
 57852.5666555   1.784
 57853.5282568   0.34
 57856.5414468   0.138
 57857.5341832   1.244
 57857.5426964   -0.208
 57860.4928993   1.531
 57860.5029285   0.236
 57863.4287307   1.747
 57865.4956944   0.151
 57866.5387275   1.385
 57869.4794903   1.66
 57871.5095047   1.713
 57871.5180089   0.172
 57872.7176402   1.306
 57875.4918246   1.534
 57875.5018401   0.213
 57877.4949665   -0.144
 57878.5277904   1.287
 57878.5362865   -0.014
 57880.4821931   1.723
 57882.5141591   0.1
 57882.7783508   0.131
 57885.6969979   1.54
 57885.7055011   0.049
 57889.5621695   0.156
 57892.5467622   1.578
 57892.5552695   -0.07
 57899.4473477   1.337
 57899.455869    -0.176
 57904.4886012   -0.104
 57906.5431892   1.053
 57906.5517032   -0.284
 57909.5236813   3.232
 57913.5431327   1.515
 57913.5519683   -0.278
 57913.6068295   -0.207
 57917.5073369   -0.079
 57919.5424466   1.355
 57920.5239714   1.553
 57920.5324878   0.063
 57920.5939873   0.197
 57923.5134408   -0.089
 57927.5317343   1.653
 57927.5404501   -0.1
 57929.4458303   -0.219
 57934.5212821   1.371
 57934.5298152   -0.245
 57935.5026891   1.223
 57940.4952479   -0.057
 57941.5219641   1.171
 57941.5306602   -0.241
 57945.5147395   -0.217
 57948.5746974   1.31
 57948.5832319   -0.337
 57951.8314452   -0.414
 57953.5246152   1.466
 57954.5302954   1.162
 57955.5257131   1.7
 57955.5342639   0.347
 57957.4979123   1.994
 57962.5142087   1.372
 57962.5227198   -0.104
