!mjd_obs        !mean_dy        
!---------------!---------------
 57754.4688166   -0.584
 57754.4776114   -2.097
 57756.4932779   -0.489
 57760.5297205   -0.128
 57761.4526989   -0.356
 57761.4612298   -2.136
 57764.4598173   0.045
 57769.6049021   0.179
 57785.9942538   -0.511
 57786.0027467   -1.812
 57786.2340071   -0.05
 57786.2425036   -1.756
 57786.4962548   0.183
 57786.504762    -1.292
 57786.539231    -1.689
 57787.515334    0.089
 57793.4893741   -0.291
 57793.497878    -1.82
 57793.5414788   -1.85
 57797.5578443   0.326
 57797.5667773   -1.394
 57800.5265968   0.063
 57800.5351366   -1.622
 57800.6251748   0.007
 57802.1615093   0.074
 57802.1783614   -1.507
 57805.472915    -0.167
 57806.5262739   -1.649
 57807.505145    0.201
 57807.5139722   -1.651
 57808.458739    0.261
 57815.4983017   0.057
 57815.5067988   -1.553
 57815.580603    -1.74
 57821.5067663   -1.545
 57822.5023758   0.033
 57822.5108869   -1.53
 57829.4496914   -0.066
 57829.4582069   -1.686
 57831.5456171   -1.474
 57836.5097278   0.243
 57836.5184805   -1.318
 57837.5044279   -1.333
 57843.5567687   0.066
 57843.5654718   -1.53
 57844.5303796   -1.511
 57845.6253638   0.356
 57848.6116626   -0.231
 57848.6204451   -3.358
 57848.6213434   -1.32
 57850.5222555   0.714
 57850.5307888   -0.954
 57852.5666555   0.269
 57853.5282568   -1.226
 57856.5414468   -1.197
 57857.5341832   -0.273
 57857.5426964   -1.812
 57860.4928993   -0.04
 57860.5029285   -1.5
 57863.4287307   0.383
 57865.4956944   -1.486
 57866.5387275   -0.064
 57869.4794903   0.216
 57871.5095047   0.257
 57871.5180089   -1.433
 57872.7176402   -0.261
 57875.4918246   0.343
 57875.5018401   -1.16
 57877.4949665   -1.544
 57878.5277904   0.161
 57878.5362865   -1.409
 57880.4821931   0.435
 57882.5141591   -1.158
 57882.7783508   -1.212
 57885.6969979   0.547
 57885.7055011   -1.149
 57889.5621695   -1.183
 57892.5467622   0.7
 57892.5552695   -1.161
 57899.4473477   0.292
 57899.455869    -1.316
 57904.4886012   -1.372
 57906.5431892   -0.067
 57906.5517032   -1.615
 57909.5236813   -3.095
 57913.5431327   0.206
 57913.5519683   -1.678
 57913.6068295   -1.723
 57917.5073369   -1.591
 57919.5424466   -0.08
 57920.5239714   0.212
 57920.5324878   -1.603
 57920.5939873   -1.484
 57923.5134408   -1.684
 57927.5317343   0.158
 57927.5404501   -1.609
 57929.4458303   -1.917
 57934.5212821   -0.054
 57934.5298152   -1.901
 57935.5026891   -0.289
 57940.4952479   -1.762
 57941.5219641   -0.301
 57941.5306602   -1.833
 57945.5147395   -2.039
 57948.5746974   -0.176
 57948.5832319   -1.908
 57951.8314452   -1.933
 57953.5246152   0.346
 57954.5302954   0.117
 57955.5257131   0.65
 57955.5342639   -0.978
 57957.4979123   0.896
 57962.5142087   0.056
 57962.5227198   -1.517
 57963.5187447   -0.059
 57963.5726852   -1.629
 57969.528907    0.34
 57969.537423    -1.477
 57969.5865164   0.269
 57970.5230987   -1.427
 57974.5873868   0.498
 57974.6570349   0.429
 57974.6670789   -1.168
 57980.5878523   -0.007
 57980.5978564   -1.803
 57983.5202561   0.137
 57983.5287355   -1.662
 57983.6270983   -2.056
 57986.5585003   -0.282
 57989.5800806   0.025
 57990.6726943   -0.2
 57990.6811782   -1.658
 57992.4912432   0.068
 57997.4994351   -0.57
 57997.5079214   -2.204
 58001.552466    -0.417
 58004.516825    0.293
 58004.5253251   -1.479
 58004.6369732   -1.4
 58007.5333657   -1.624
 58011.4995808   -0.502
 58011.5403019   -2.18
 58011.6574051   -2.407
 58013.5328652   -0.328
 58014.4291641   -1.773
 58018.4756485   -0.03
 58018.4841369   -1.898
 58018.5337933   -0.049
 58018.5437814   -1.777
 58025.4736644   -0.352
 58025.4821554   -2.159
 58027.4794889   0.036
 58028.5151658   -0.81
 58031.5322943   0.799
 58032.4867943   0.302
 58032.4952921   -1.457
 58032.623582    -0.616
 58035.5152131   -1.543
 58036.492334    -1.593
 58039.4891281   0.089
 58039.4976182   -1.663
 58046.6426238   -0.773
 58046.6511232   -2.365
 58048.4777124   -0.473
 58051.4934473   -2.14
 58056.4155114   0.438
 58056.5452701   -1.514
 58060.449717    -0.046
 58060.4582212   -1.841
 58063.5064933   -1.889
 58067.4678132   -0.16
 58067.4763139   -1.782
 58067.6584415   -1.99
 58070.5070697   -1.823
 58074.4562957   -0.215
 58074.4647984   -1.631
 58075.4960734   0.151
 58075.51218     -1.49
 58078.4565667   0.857
 58079.5143398   -1.602
 58081.4658153   0.556
 58081.6627633   -2.151
 58082.7694439   -0.312
 58088.4584613   0.281
 58088.4669532   -1.48
 58089.4432667   -0.024
 58089.4522472   -1.653
 58090.4518343   0.315
 58090.4603352   -1.522
 58095.5494575   -1.553
 58097.4625186   0.057
 58097.4710469   -1.467
 58100.4692253   -1.26
 58104.4476227   0.23
 58104.4561393   -1.473
 58105.586512    -0.084
 58111.6080604   -1.493
 58111.690193    0.213
 58111.6986883   -1.393
 58117.4881998   -1.391
 58118.449773    0.659
 58118.4584265   -1.069
 58120.4831097   -0.985
 58125.4609703   0.305
 58125.4694707   -1.212
 58125.558176    -1.147
 58131.4842578   -3.303
 58132.4637839   0.623
 58132.4722885   -1.045
 58134.6469992   0.722
 58134.6572614   -1.098
 58139.4616054   0.367
 58139.4701011   -1.207
 58142.4411107   -0.1
 58146.5952978   -0.598
 58146.6037866   -1.964
 58150.3518648   -1.909
 58152.4674969   -0.105
 58153.466456    0.121
 58153.4749594   -1.501
 58160.4731637   -0.144
 58160.4816957   -1.628
 58160.6266442   -0.503
 58160.6355387   -1.962
 58163.6033332   -0.443
 58163.607535    -1.848
 58167.5249047   0.497
 58167.5335917   -0.867
 58168.5131185   0.886
 58169.4849197   -0.481
 58171.5003793   0.806
 58174.5045647   0.97
 58174.5132561   -0.707
 58174.5939919   -0.939
 58177.5780384   1.162
 58177.5867437   -0.591
 58181.5106507   0.312
 58181.5191852   -1.322
 58181.6276171   -1.206
 58184.5093922   1.505
 58187.5414812   -1.431
 58188.4946831   -0.1
 58188.5032187   -1.748
 58191.5382474   -1.36
 58194.5048797   0.454
 58195.4925587   0.596
 58195.5010814   -1.09
 58195.6012548   -1.169
 58199.4563778   0.274
 58201.4491404   0.955
 58202.4920368   0.809
 58202.5005304   -0.849
 58203.3421586   1.136
 58203.3587052   -0.676
 58203.4593999   1.272
 58205.4578178   1.274
 58207.4756056   0.884
 58209.4794034   1.416
 58209.5922148   1.322
 58209.6007143   -0.275
 58210.5113946   -2.203
 58211.565271    -0.288
 58213.4864983   1.258
 58214.4958239   0.708
 58216.5286215   0.711
 58216.5371542   -1.043
 58217.5156256   0.112
 58217.524172    -1.488
 58217.6387471   0.373
 58220.5185916   0.468
 58223.4950208   -0.166
 58224.5025146   0.058
 58224.5110586   -1.501
 58227.6909006   -1.758
 58228.4710005   0.442
 58229.4546866   0.016
 58231.509815    0.308
 58231.5186096   -1.363
 58232.5148261   0.354
 58236.5774409   0.261
 58238.5259921   0.155
 58238.5344995   -1.578
 58239.517068    0.168
 58242.537203    1.106
 58242.5463105   -1.888
 58242.9344612   -1.179
 58247.5461635   1.416
 58247.5548503   -0.324
 58249.5328392   1.323
 58252.538874    1.007
 58254.5061908   0.645
 58254.5149408   -1.045
 58261.5404208   1.186
 58261.5489405   -0.548
 58262.5400853   0.998
 58264.4904055   -2.628
 58265.5593084   0.823
 58268.5437724   1.332
 58268.5522992   -0.519
 58271.4952757   1.476
 58272.5409094   -2.138
 58275.5220478   1.533
 58275.5305695   -0.259
 58277.5048418   -0.234
 58278.5000204   -0.255
 58279.5137003   1.827
 58282.526149    1.507
 58282.5349632   -0.598
 58284.5385821   1.418
 58284.5475679   -0.476
 58288.6037394   0.919
 58289.5226405   1.171
 58289.5311801   -0.512
 58290.5541369   0.975
 58296.5181025   0.91
 58296.5267612   -0.764
 58298.5349025   1.359
 58299.4543601   -2.4
 58301.5581207   0.924
 58301.5749498   -0.873
 58303.5390939   1.78
 58303.547642    -0.59
 58304.5332479   1.098
 58305.5566256   -0.768
 58310.5168792   0.932
 58310.5257341   -0.868
 58312.6102884   0.218
 58316.5338659   1.1
 58317.5398946   1.072
 58317.5485721   -0.653
 58323.5540326   1.168
 58324.5103708   1.343
 58324.5188738   -0.548
 58327.5275513   1.097
 58330.5252274   1.15
 58331.4566148   0.974
 58331.4651295   -0.867
 58338.5069306   0.821
 58338.5154631   -0.941
 58338.606563    0.753
 58338.6157234   -1.063
 58342.5543459   0.725
 58342.5633014   -0.932
 58345.508042    0.737
 58345.5165501   -0.936
 58351.5241509   -0.536
 58352.5179615   0.803
 58352.5266399   -0.802
 58352.5758026   0.788
 58354.5316955   -2.714
 58355.4958914   0.873
 58359.5305565   1.247
 58359.5390603   -0.398
 58360.8474556   0.518
 58360.8574693   -0.693
 58362.5007244   1.909
 58362.510771    0.14
 58362.7170557   -2.555
 58363.5299492   1.262
 58364.4862056   -1.234
 58366.496061    0.748
 58366.5045555   -0.759
 58368.5078476   0.812
 58371.4687057   -2.548
 58372.5414034   1.008
 58373.5430496   1.064
 58373.5605933   -0.602
 58379.5106603   -0.475
 58380.4931405   1.051
 58380.5016862   -0.583
 58387.5031344   0.853
 58387.5117471   -0.705
 58393.5053096   -0.693
 58394.5073175   0.831
 58394.5161548   -0.826
 58397.4340263   0.206
 58397.4440328   -1.315
 58400.4859242   -0.651
 58401.4740305   1.124
 58401.4828092   -0.629
 58403.5092197   -0.68
 58405.7587283   -3.664
 58407.4593021   -0.969
 58408.4607962   1.073
 58408.4693074   -0.736
 58410.491414    -1.384
 58412.4938039   0.496
 58414.4688847   -0.836
 58415.5008338   1.014
 58415.5093232   -0.837
 58415.5861908   0.502
 58421.4703413   0.782
 58422.4608488   0.423
 58422.4693493   -1.201
 58424.473214    0.468
 58426.4891627   -0.958
 58429.4779467   0.612
 58429.4865384   -1.058
 58436.4428847   0.452
 58436.4513916   -0.827
 58438.4629128   -1.115
 58441.4573213   0.496
 58441.4662614   -1.15
 58443.4842176   0.518
 58443.4927077   -1.298
 58444.4990664   0.625
 58444.5080261   -1.11
 58447.4727381   0.422
 58448.4435824   -0.88
 58450.4451702   0.873
 58450.4536689   -0.883
 58451.4652963   -0.637
 58455.4390358   -0.356
 58456.4425714   1.506
 58457.4511369   1.499
 58457.4598073   -0.103
 58457.5386074   -0.337
 58460.4338562   -0.735
 58461.4577078   -0.785
 58463.6248767   -3.131
 58464.4531014   0.242
 58464.4615812   -1.214
 58471.4636966   0.313
 58471.4722029   -1.468
 58471.5388962   -1.472
 58475.442554    -1.345
 58478.4452858   0.531
 58478.453827    -1.066
 58479.4517232   -0.899
 58482.4650413   -1.318
 58484.4528468   0.375
 58485.4361655   0.284
 58485.4446555   -1.206
 58486.4559725   -1.278
 58488.4155355   0.435
 58489.4951704   -1.07
 58492.4706267   0.952
 58492.4791118   -0.701
 58499.4698332   0.821
 58499.4786071   -0.809
 58500.4623738   -0.757
 58506.4715451   0.241
 58506.4800483   -1.11
 58507.5885176   -1.195
 58511.4680453   -1.49
 58513.4243399   0.068
 58513.4328244   -1.462
 58517.5897943   0.223
 58517.6062338   -1.451
 58520.4730151   0.119
 58520.4815525   -1.322
 58520.5534695   0.233
 58520.5575129   -1.213
 58524.4581779   -1.12
 58526.4852168   0.308
 58527.5139265   0.208
 58527.5224488   -1.404
 58532.5495936   -1.244
 58534.4892392   0.907
 58534.4979876   -0.891
 58535.519348    -1.235
 58536.4693922   0.48
 58538.4897805   -1.186
 58541.4889825   0.781
 58541.4975305   -0.921
 58548.4994299   0.155
 58548.5079778   -1.458
 58550.4696499   -1.425
 58555.4948497   0.505
 58555.503376    -1.094
 58561.5076587   -1.034
 58562.4712253   0.407
 58562.5724374   0.222
 58562.580962    -1.213
 58565.4779927   0.647
 58568.4605183   0.825
 58569.4943808   0.866
 58569.5028906   -0.683
 58574.4710529   0.758
 58575.5864008   -0.693
 58576.3790555   -1.202
 58576.4588846   0.313
 58576.4674197   -1.149
 58577.5284692   0.7
 58583.496502    0.315
 58583.5050206   -1.209
 58586.4643408   -1.079
 58590.6792054   -0.085
 58590.6877069   -1.726
 58593.5535103   -1.427
 58597.4585508   0.613
 58597.4670664   -1.175
 58598.4551287   0.707
 58604.5119973   0.699
 58604.5205088   -1.024
 58608.50156     -1.178
 58611.455216    -0.166
 58611.4638804   -1.881
 58612.5300347   -1.198
 58613.4957412   0.893
 58618.5355031   0.355
 58618.5441702   -1.191
 58621.5167694   -1.159
 58623.4951604   0.957
 58624.5479632   -0.958
 58625.5491295   1.048
 58625.5576237   -0.733
 58631.5181442   -0.919
 58632.5288686   0.289
 58632.5373691   -1.546
 58639.5143858   0.076
 58639.5229096   -1.66
 58644.5022956   -3.147
 58646.5295997   0.827
 58646.5380968   -1.026
 58646.59804     -0.981
 58653.5173466   -0.182
 58653.5258552   -1.755
 58660.5732236   0.767
 58660.5817193   -0.99
 58664.4833885   -1.097
 58666.4784696   -0.898
 58667.5266377   0.265
 58667.5351362   -1.094
 58671.5064277   0.613
 58673.4819539   -1.426
 58674.5134241   0.271
 58674.5219416   -1.278
 58678.5474477   0.922
 58681.5235906   0.359
 58681.5321018   -1.402
 58681.761941    0.187
 58681.7707508   -1.699
 58682.4721139   0.783
 58688.7253477   0.545
 58688.7338772   -1.271
 58695.5095279   0.021
 58695.5180532   -1.557
 58698.567131    -1.325
